gene	length	CF1	CF2	CH1	CH2
ENSGALG00000006833	3113	26	22	32	16
ENSGALG00000006713	3006	94	106	79	80
ENSGALG00000003674	3586	1226	1196	1194	1072
ENSGALG00000006682	1302	254	280	272	249
ENSGALG00000006656	3272	988	1005	932	861
ENSGALG00000006606	8446	245	224	312	295
ENSGALG00000006563	2724	887	886	810	812
ENSGALG00000006560	6465	1298	1605	1294	1287
ENSGALG00000008499	15737	25	42	17	46
ENSGALG00000008486	7554	220	206	246	200
ENSGALG00000008455	5922	419	424	379	346
ENSGALG00000008439	2325	10	6	4	2
ENSGALG00000008353	6515	104	107	82	91
ENSGALG00000008295	3093	15	12	20	11
ENSGALG00000008222	2611	277	309	257	311
ENSGALG00000008193	10545	163	147	412	329
ENSGALG00000008115	2331	265	307	291	284
ENSGALG00000008035	4094	940	896	929	827
ENSGALG00000007161	8183	261	294	257	282
ENSGALG00000028853	6675	687	714	719	582
ENSGALG00000007098	6209	1653	1705	1120	1187
ENSGALG00000007025	4205	126	153	104	116
ENSGALG00000013399	8513	165	179	191	198
ENSGALG00000006975	4832	926	1070	939	951
ENSGALG00000027385	617	2	0	0	1
ENSGALG00000023584	421	5	4	5	2
ENSGALG00000013146	9363	2568	2579	2765	2588
ENSGALG00000027861	5194	135	143	109	121
ENSGALG00000008836	2016	1084	1142	981	1051
ENSGALG00000008926	4590	164	185	175	171
ENSGALG00000008961	17093	176	207	119	132
ENSGALG00000009023	2268	620	606	642	584
ENSGALG00000009066	1905	24	29	31	32
ENSGALG00000009134	5230	818	805	515	506
ENSGALG00000009324	8791	44	46	9	22
ENSGALG00000009380	1907	145	173	151	149
ENSGALG00000009424	2385	753	805	592	654
ENSGALG00000009480	5729	302	299	295	248
ENSGALG00000027876	5249	59	58	61	57
ENSGALG00000009514	7910	47	47	52	55
ENSGALG00000009523	5684	51	53	89	75
ENSGALG00000009530	2956	163	212	98	88
ENSGALG00000009556	2801	1282	1420	1726	1633
ENSGALG00000009572	7411	193	201	197	207
ENSGALG00000009586	4011	150	135	138	133
ENSGALG00000009596	3840	29	31	31	34
ENSGALG00000008497	10235	2480	2258	2466	2064
ENSGALG00000009730	3043	0	0	2	2
ENSGALG00000009739	1862	168	149	90	73
ENSGALG00000009755	8335	1779	1731	1770	1710
ENSGALG00000019361	1576	2	2	8	11
ENSGALG00000009773	4898	1576	1699	1566	1556
ENSGALG00000009805	1514	62	63	81	69
ENSGALG00000009842	3404	2679	2796	1887	1887
ENSGALG00000009895	4044	392	381	388	368
ENSGALG00000009901	2404	377	376	362	403
ENSGALG00000009942	1620	386	405	440	378
ENSGALG00000029135	3215	1219	1337	1341	1209
ENSGALG00000010044	2488	21	15	24	20
ENSGALG00000010148	3553	6	8	4	3
ENSGALG00000010177	6221	2349	1984	2308	1798
ENSGALG00000010190	6256	1611	1549	1515	1404
ENSGALG00000010204	2100	102	97	86	109
ENSGALG00000010238	1248	13508	13202	12698	12362
ENSGALG00000010246	6490	1033	1169	1149	1214
ENSGALG00000010253	5634	972	964	1004	916
ENSGALG00000010319	5229	79	96	84	81
ENSGALG00000010320	1394	218	182	193	228
ENSGALG00000010325	3312	1218	1221	1173	1102
ENSGALG00000010342	8662	1	0	0	0
ENSGALG00000010939	906	116	149	102	95
ENSGALG00000010940	2489	509	627	422	464
ENSGALG00000010958	4745	22	20	14	22
ENSGALG00000010962	5389	231	257	216	256
ENSGALG00000011002	5243	32	47	22	24
ENSGALG00000028360	5809	0	1	0	1
ENSGALG00000011177	7616	989	1017	981	895
ENSGALG00000011215	6787	1451	1464	1343	1340
ENSGALG00000011274	1123	1066	1060	951	934
ENSGALG00000011285	1249	1419	1447	1377	1323
ENSGALG00000011297	2921	196	218	178	146
ENSGALG00000011309	5637	1434	1598	1723	1787
ENSGALG00000011327	2331	733	704	724	690
ENSGALG00000011357	3230	1127	1178	1062	1017
ENSGALG00000011406	6286	44	30	91	82
ENSGALG00000011549	6468	104	88	69	65
ENSGALG00000011557	4374	529	506	503	449
ENSGALG00000011614	3276	4	2	0	0
ENSGALG00000011662	6088	5430	5786	5396	5204
ENSGALG00000011747	903	479	664	554	606
ENSGALG00000026738	456	110	96	81	122
ENSGALG00000011798	2843	492	554	434	387
ENSGALG00000011809	5005	1	0	1	0
ENSGALG00000011814	8404	1465	1467	1411	1286
ENSGALG00000011847	1706	692	703	732	692
ENSGALG00000011992	8416	2518	2877	2629	2421
ENSGALG00000012033	3501	317	316	312	336
ENSGALG00000012050	5828	494	632	546	498
ENSGALG00000012178	2524	42	44	45	36
ENSGALG00000012236	1282	121	158	126	135
ENSGALG00000012312	1541	1100	1147	1088	1275
ENSGALG00000027830	5579	3	4	5	11
ENSGALG00000012533	7046	6827	7355	7390	7545
ENSGALG00000012540	1147	486	547	455	470
ENSGALG00000012559	2455	290	291	191	217
ENSGALG00000012566	2137	3	1	0	4
ENSGALG00000012568	834	150	133	144	125
ENSGALG00000012602	1691	0	0	2	0
ENSGALG00000012635	3422	503	553	439	417
ENSGALG00000012640	2928	2550	2694	2355	2398
ENSGALG00000012647	2718	0	1	0	3
ENSGALG00000012659	3196	5087	5214	4974	4777
ENSGALG00000012691	3471	631	591	604	566
ENSGALG00000012665	3520	982	1057	998	885
ENSGALG00000026473	5443	495	497	444	462
ENSGALG00000012734	1655	153	156	167	157
ENSGALG00000012755	801	0	0	0	0
ENSGALG00000012791	1796	12	19	27	10
ENSGALG00000012792	3815	1037	1081	1063	1038
ENSGALG00000012857	3650	1250	1268	1102	1080
ENSGALG00000028444	1405	58	71	48	50
ENSGALG00000012877	3809	762	759	917	822
ENSGALG00000012913	6065	309	303	215	292
ENSGALG00000012934	4255	118	101	92	95
ENSGALG00000012944	8241	468	453	306	293
ENSGALG00000012956	3256	667	674	1423	1517
ENSGALG00000012975	3501	95	79	124	92
ENSGALG00000012987	2420	771	751	718	691
ENSGALG00000013000	4576	1353	1337	1293	1303
ENSGALG00000013007	3305	11	6	12	8
ENSGALG00000013022	7183	372	372	409	422
ENSGALG00000013039	1242	4780	4996	4767	4487
ENSGALG00000013071	2537	1475	1290	2067	1752
ENSGALG00000028186	5307	365	365	158	205
ENSGALG00000013085	8318	84	90	154	197
ENSGALG00000013095	4798	420	458	440	415
ENSGALG00000013117	5581	72	60	35	35
ENSGALG00000013123	2163	1	2	0	0
ENSGALG00000013134	6848	1363	1438	1158	1018
ENSGALG00000013143	2541	210	197	197	158
ENSGALG00000013177	1237	386	419	364	363
ENSGALG00000013204	4854	425	473	463	467
ENSGALG00000013210	5888	1626	1697	1688	1571
ENSGALG00000013211	1227	78	146	121	133
ENSGALG00000013226	886	0	0	0	1
ENSGALG00000014042	2293	39	50	41	35
ENSGALG00000014071	10117	1727	1806	1447	1377
ENSGALG00000014096	3264	744	773	725	648
ENSGALG00000014106	9624	3055	3084	3243	3147
ENSGALG00000014178	2929	2441	2545	2350	2179
ENSGALG00000014203	4244	88	90	56	75
ENSGALG00000028130	5676	75	100	63	49
ENSGALG00000014213	4438	504	594	432	459
ENSGALG00000014218	791	57	62	60	49
ENSGALG00000014222	5428	3485	3691	3544	3265
ENSGALG00000014233	3362	3676	3516	6332	5755
ENSGALG00000014234	2270	360	354	365	376
ENSGALG00000022985	2119	33	39	57	46
ENSGALG00000013911	3842	260	229	264	196
ENSGALG00000012921	1610	398	459	398	388
ENSGALG00000028155	5552	145	176	138	164
ENSGALG00000026372	3280	37	55	37	53
ENSGALG00000017291	1516	218	244	185	170
ENSGALG00000017282	1260	1947	2008	1915	1868
ENSGALG00000027299	3982	80	61	139	89
ENSGALG00000017271	6572	0	0	0	2
ENSGALG00000014346	1969	1038	1088	1042	919
ENSGALG00000014252	5460	13	8	5	5
ENSGALG00000014361	4116	1116	1140	1068	1038
ENSGALG00000007378	633	761	807	708	721
ENSGALG00000014439	5295	3463	3681	3430	3274
ENSGALG00000014476	1182	0	0	1	0
ENSGALG00000014689	1166	55	64	57	51
ENSGALG00000014701	1651	171	181	166	162
ENSGALG00000014749	3717	797	703	685	631
ENSGALG00000014759	1706	90	94	95	88
ENSGALG00000014772	1035	296	289	285	266
ENSGALG00000014779	6501	106	104	97	75
ENSGALG00000014816	2678	1044	1028	947	892
ENSGALG00000014924	8433	825	814	904	738
ENSGALG00000014941	3432	142	137	105	104
ENSGALG00000014947	3737	1093	1330	1132	1201
ENSGALG00000014980	1742	60	56	62	29
ENSGALG00000015025	6198	663	709	657	617
ENSGALG00000015084	4434	20	26	22	14
ENSGALG00000015087	4187	199	199	366	300
ENSGALG00000015121	2830	282	297	256	255
ENSGALG00000015197	1473	156	151	176	154
ENSGALG00000015244	1716	5	2	3	3
ENSGALG00000015252	4642	1142	1254	911	976
ENSGALG00000015271	6079	646	536	312	305
ENSGALG00000015285	4954	5824	6041	5710	5529
ENSGALG00000015307	4704	4	7	7	15
ENSGALG00000015323	3778	524	461	474	453
ENSGALG00000015346	3392	119	125	150	134
ENSGALG00000015351	3172	518	493	615	551
ENSGALG00000015353	3141	407	409	338	333
ENSGALG00000015358	6024	47	40	57	52
ENSGALG00000015403	7940	460	572	92	111
ENSGALG00000015418	2961	10	12	2	0
ENSGALG00000024077	1617	189	186	198	159
ENSGALG00000015435	3315	663	720	702	679
ENSGALG00000015484	9381	2754	2983	2714	2693
ENSGALG00000015499	2619	45	50	33	29
ENSGALG00000015506	3886	1122	1104	1256	1094
ENSGALG00000015511	6250	1884	1980	2068	1839
ENSGALG00000015519	4294	486	484	480	447
ENSGALG00000015675	3667	235	234	241	263
ENSGALG00000022857	366	137	184	125	119
ENSGALG00000019198	819	71	65	78	83
ENSGALG00000015737	2532	41	32	20	25
ENSGALG00000015770	5671	10555	10886	10256	10470
ENSGALG00000015774	490	221	267	214	203
ENSGALG00000015792	4473	720	763	653	816
ENSGALG00000015804	6366	1558	1400	1544	1337
ENSGALG00000015835	3118	614	574	573	524
ENSGALG00000015879	4331	2402	2656	1797	1862
ENSGALG00000015907	4896	200	249	253	231
ENSGALG00000015982	3142	37	34	27	29
ENSGALG00000016022	2048	10	13	17	5
ENSGALG00000016040	5215	1356	1341	1293	1229
ENSGALG00000016047	2554	681	783	584	586
ENSGALG00000016050	6832	1709	1778	1658	1611
ENSGALG00000016065	6869	1340	1451	1425	1245
ENSGALG00000016138	6413	3	0	2	6
ENSGALG00000016140	1113	13	11	19	14
ENSGALG00000016145	3446	101	139	112	112
ENSGALG00000016164	2699	27	39	33	28
ENSGALG00000016187	2167	1391	1361	1343	1321
ENSGALG00000016206	4312	1128	1191	1093	1063
ENSGALG00000016224	4577	68	83	103	104
ENSGALG00000016226	4066	2684	2601	2668	2415
ENSGALG00000016245	5379	1139	1318	1223	1129
ENSGALG00000016255	7004	410	451	401	372
ENSGALG00000016268	3294	38	24	29	20
ENSGALG00000019164	3360	12	9	11	9
ENSGALG00000016288	3328	5	15	12	6
ENSGALG00000016323	2383	1530	1577	1638	1488
ENSGALG00000016375	2266	36	27	41	38
ENSGALG00000016391	3919	449	419	360	378
ENSGALG00000016426	4221	4	8	11	14
ENSGALG00000016545	5482	434	465	446	407
ENSGALG00000016548	2179	647	657	664	618
ENSGALG00000027960	3120	33	45	33	33
ENSGALG00000016551	720	1690	1678	1200	1054
ENSGALG00000016571	3720	3	5	5	3
ENSGALG00000016578	1749	1692	1621	1587	1511
ENSGALG00000016594	6880	106	125	108	110
ENSGALG00000016603	2310	297	296	280	245
ENSGALG00000016607	2294	59	79	51	48
ENSGALG00000016614	8368	2005	2233	1670	1745
ENSGALG00000013366	6078	5878	6104	6199	5547
ENSGALG00000016616	2998	473	423	242	212
ENSGALG00000016628	7275	23	15	12	8
ENSGALG00000016629	5060	772	751	752	730
ENSGALG00000016681	1636	153	176	162	171
ENSGALG00000016687	1409	21	18	16	14
ENSGALG00000016716	3820	677	696	653	638
ENSGALG00000016727	3016	1869	1972	1918	1802
ENSGALG00000016734	3184	155	114	113	110
ENSGALG00000016736	4414	3339	3562	3239	3156
ENSGALG00000016739	15341	2855	3022	3038	2634
ENSGALG00000019144	1381	0	0	0	0
ENSGALG00000016745	5847	21	22	13	13
ENSGALG00000016751	5582	3769	3702	3518	3357
ENSGALG00000016754	2858	91	107	94	99
ENSGALG00000016776	3458	217	243	255	219
ENSGALG00000016781	4354	3511	3721	3262	3162
ENSGALG00000028951	5018	1	0	0	0
ENSGALG00000016808	9342	6825	7181	6518	6134
ENSGALG00000016810	6162	202	196	125	123
ENSGALG00000016811	1911	397	394	340	322
ENSGALG00000016817	4465	820	795	931	870
ENSGALG00000016821	1554	17	12	16	16
ENSGALG00000016824	8682	420	467	494	434
ENSGALG00000016829	1347	1570	1685	1530	1551
ENSGALG00000016834	9828	249	252	234	206
ENSGALG00000016837	10867	259	297	274	283
ENSGALG00000016841	6532	688	768	802	769
ENSGALG00000016843	5255	424	426	478	438
ENSGALG00000016851	5896	1434	1411	1514	1297
ENSGALG00000016867	2362	20	14	40	41
ENSGALG00000016868	7363	227	193	248	226
ENSGALG00000016872	2166	854	903	864	833
ENSGALG00000016886	7934	2662	2654	3499	3223
ENSGALG00000016896	4892	158	188	169	173
ENSGALG00000016900	1575	23	28	45	39
ENSGALG00000016902	3528	234	273	221	249
ENSGALG00000016913	6163	48	64	56	62
ENSGALG00000016915	13192	1791	2013	2033	1820
ENSGALG00000016926	1432	235	248	214	228
ENSGALG00000016929	5690	383	374	428	353
ENSGALG00000016931	2993	1004	918	1076	820
ENSGALG00000016933	5292	890	800	919	849
ENSGALG00000016907	4062	4	3	7	2
ENSGALG00000016937	4331	513	483	479	412
ENSGALG00000016941	7920	46	57	60	68
ENSGALG00000016943	2916	3	0	0	5
ENSGALG00000016945	2727	539	524	797	732
ENSGALG00000016949	4851	1556	1566	1500	1407
ENSGALG00000016955	6555	531	606	498	492
ENSGALG00000016959	3715	96	106	100	86
ENSGALG00000016967	3147	172	188	263	268
ENSGALG00000016974	2961	1835	1960	1841	1834
ENSGALG00000016980	2763	587	495	499	507
ENSGALG00000016987	202	0	0	0	0
ENSGALG00000016990	3239	204	197	187	157
ENSGALG00000016996	888	1498	1358	1327	1390
ENSGALG00000017002	3793	948	959	1010	887
ENSGALG00000017004	1918	72	72	83	67
ENSGALG00000017008	2621	1488	1473	1372	1289
ENSGALG00000017015	2784	1178	1264	1131	1148
ENSGALG00000017016	1414	50	43	41	29
ENSGALG00000017019	2405	483	485	459	432
ENSGALG00000017036	1222	427	460	573	585
ENSGALG00000017041	9577	321	382	402	381
ENSGALG00000017044	7512	20	35	4	4
ENSGALG00000017046	7548	825	833	537	606
ENSGALG00000017056	3447	256	224	286	224
ENSGALG00000017062	11702	1802	1559	1803	1611
ENSGALG00000017064	6075	2150	2213	2093	1998
ENSGALG00000017065	4446	56	56	88	75
ENSGALG00000017068	5838	7	2	5	6
ENSGALG00000017070	4420	2799	2786	2712	2442
ENSGALG00000017075	9338	110	110	128	151
ENSGALG00000017085	2270	559	612	575	515
ENSGALG00000017086	4660	13	18	26	24
ENSGALG00000017092	5301	1608	1629	1634	1425
ENSGALG00000017104	4356	1088	1231	1117	1120
ENSGALG00000017118	4195	1445	1605	1494	1455
ENSGALG00000017122	1061	334	376	433	411
ENSGALG00000025748	4809	179	177	174	181
ENSGALG00000017125	1344	452	515	418	449
ENSGALG00000017129	633	2968	3301	3083	3044
ENSGALG00000017132	7700	2188	2304	2248	2191
ENSGALG00000017135	7885	226	190	214	196
ENSGALG00000017150	5533	23	30	24	23
ENSGALG00000017154	2676	34	35	35	32
ENSGALG00000017170	2348	198	193	208	165
ENSGALG00000017173	2268	238	286	210	208
ENSGALG00000017178	9076	3	4	7	11
ENSGALG00000017179	1112	38	48	38	52
ENSGALG00000017180	14913	692	740	695	611
ENSGALG00000017188	1198	5680	6134	5598	5383
ENSGALG00000017191	1935	80	58	21	26
ENSGALG00000017194	4153	34	36	17	17
ENSGALG00000017196	2649	486	526	455	406
ENSGALG00000017197	6753	6	0	10	5
ENSGALG00000017199	3551	1026	1068	819	896
ENSGALG00000017204	1651	118	125	99	105
ENSGALG00000017214	7794	12	13	10	8
ENSGALG00000017226	2493	0	0	2	0
ENSGALG00000017227	1814	58	69	57	51
ENSGALG00000017229	28975	231	247	212	180
ENSGALG00000017235	1936	223	204	193	208
ENSGALG00000017238	4206	22	16	2	4
ENSGALG00000017241	3957	544	511	581	499
ENSGALG00000017246	1850	287	327	290	336
ENSGALG00000017249	7255	2031	1889	2060	1769
ENSGALG00000017261	8452	2224	2732	2019	2105
ENSGALG00000017269	4593	11	9	12	11
ENSGALG00000027969	5078	1478	1624	1548	1365
ENSGALG00000000681	6163	302	339	315	308
ENSGALG00000000733	6837	57	62	38	35
ENSGALG00000000755	2043	573	573	613	514
ENSGALG00000003422	2482	970	1121	945	1055
ENSGALG00000028273	1399	61	70	42	53
ENSGALG00000027762	1504	477	524	513	540
ENSGALG00000017331	4902	474	418	446	406
ENSGALG00000017329	6912	741	737	788	692
ENSGALG00000017326	4478	1725	1922	1672	1718
ENSGALG00000017323	1423	495	532	506	513
ENSGALG00000017320	1153	902	980	1028	1044
ENSGALG00000017312	4792	2853	3139	2761	2773
ENSGALG00000009771	2051	914	1174	891	978
ENSGALG00000027884	571	6	2	5	4
ENSGALG00000009783	11339	1230	1365	1286	1238
ENSGALG00000009778	2574	27	26	21	21
ENSGALG00000009775	970	0	0	0	0
ENSGALG00000009772	1731	282	297	287	312
ENSGALG00000009770	2523	276	315	279	293
ENSGALG00000023986	1255	0	1	3	1
ENSGALG00000009746	1955	437	446	451	346
ENSGALG00000025765	824	0	0	0	0
ENSGALG00000026477	111	0	0	0	0
ENSGALG00000025487	98	0	0	0	0
ENSGALG00000027205	455	144	165	124	123
ENSGALG00000013502	3622	462	464	439	453
ENSGALG00000013772	1919	389	380	380	392
ENSGALG00000023969	460	0	0	0	0
ENSGALG00000025483	85	0	0	0	0
ENSGALG00000028531	866	436	480	437	476
ENSGALG00000012438	5384	2846	3151	2842	3082
ENSGALG00000025883	1030	2	2	3	1
ENSGALG00000023981	2362	2009	2224	1956	2130
ENSGALG00000013811	2065	1872	2105	1855	1908
ENSGALG00000028368	2005	33	44	42	34
ENSGALG00000013823	3487	2017	2221	1965	1978
ENSGALG00000007910	3129	3047	3324	3083	3276
ENSGALG00000007960	2734	770	837	725	856
ENSGALG00000026181	6106	442	493	508	535
ENSGALG00000027474	89	0	0	0	0
ENSGALG00000026336	99	0	0	0	0
ENSGALG00000024492	99	0	0	0	0
ENSGALG00000007978	2880	1739	1669	1698	1580
ENSGALG00000008003	1903	646	759	696	763
ENSGALG00000027129	111	0	0	0	0
ENSGALG00000008013	1409	414	422	429	443
ENSGALG00000028816	111	0	1	0	3
ENSGALG00000020819	2708	3	6	3	6
ENSGALG00000027499	1738	0	0	0	0
ENSGALG00000008036	2524	1162	1225	1197	1083
ENSGALG00000023942	906	0	0	0	0
ENSGALG00000008048	1402	0	0	0	0
ENSGALG00000027296	1345	1	0	0	0
ENSGALG00000008103	1712	371	449	353	359
ENSGALG00000008111	993	127	140	122	103
ENSGALG00000008144	2777	2526	2657	2455	2503
ENSGALG00000008153	1096	23	21	31	24
ENSGALG00000008162	3059	468	476	492	484
ENSGALG00000008168	3649	130	132	159	130
ENSGALG00000008169	4397	11493	11475	11264	11185
ENSGALG00000008401	954	74	70	73	79
ENSGALG00000008424	749	59	61	52	64
ENSGALG00000008437	3084	1721	1924	2129	2254
ENSGALG00000008444	2080	576	631	781	813
ENSGALG00000018270	99	0	0	0	0
ENSGALG00000008463	1581	824	810	824	801
ENSGALG00000028729	844	6	7	5	2
ENSGALG00000028216	111	0	0	0	0
ENSGALG00000027367	2443	3	2	0	0
ENSGALG00000019015	844	1	0	0	0
ENSGALG00000026341	579	13	18	22	27
ENSGALG00000006489	1164	2561	2667	2422	2420
ENSGALG00000027460	111	0	0	0	0
ENSGALG00000017622	908	0	0	0	0
ENSGALG00000019410	601	0	0	0	0
ENSGALG00000006356	2220	1112	1201	1189	1071
ENSGALG00000019412	507	10	19	12	11
ENSGALG00000018236	82	0	0	0	0
ENSGALG00000018235	90	0	0	0	0
ENSGALG00000006337	6939	0	1	0	1
ENSGALG00000006335	1030	0	0	1	0
ENSGALG00000006332	5195	2649	2714	2517	2468
ENSGALG00000006324	4979	312	333	321	287
ENSGALG00000023876	3676	260	271	312	297
ENSGALG00000027616	841	0	0	0	0
ENSGALG00000009279	2766	38	30	40	41
ENSGALG00000006941	678	0	0	0	0
ENSGALG00000026622	6221	39	39	31	43
ENSGALG00000006769	2166	423	406	400	345
ENSGALG00000006753	1113	5484	5487	5053	5005
ENSGALG00000006726	4972	44	60	41	43
ENSGALG00000025441	91	0	0	0	0
ENSGALG00000025473	91	0	0	0	0
ENSGALG00000023852	678	1	3	1	3
ENSGALG00000006706	4850	957	864	867	713
ENSGALG00000006690	878	624	608	598	600
ENSGALG00000006700	1227	89	54	86	83
ENSGALG00000006694	7234	2967	2895	3080	2789
ENSGALG00000014036	2553	884	914	916	929
ENSGALG00000013967	728	97	152	133	136
ENSGALG00000014038	1714	727	813	779	731
ENSGALG00000027168	3355	670	684	920	806
ENSGALG00000013738	2484	681	647	607	588
ENSGALG00000005870	5982	2340	2400	2319	2217
ENSGALG00000014565	1984	248	281	283	267
ENSGALG00000014575	3732	2750	2811	2715	2646
ENSGALG00000006671	5868	1733	1697	1633	1535
ENSGALG00000025161	100	0	0	0	0
ENSGALG00000028708	3732	1078	1177	1308	1192
ENSGALG00000027979	101	0	0	0	0
ENSGALG00000006643	2155	1536	1706	1443	1495
ENSGALG00000013920	4260	1375	1270	1321	1174
ENSGALG00000013926	3394	162	151	165	155
ENSGALG00000006633	637	94	98	96	78
ENSGALG00000006628	4944	746	725	744	681
ENSGALG00000027038	157	1	2	2	0
ENSGALG00000006576	3693	0	0	2	2
ENSGALG00000023801	480	0	0	0	0
ENSGALG00000028689	120	0	0	0	0
ENSGALG00000008427	2516	1	3	1	1
ENSGALG00000008382	1097	1105	1094	1119	1134
ENSGALG00000008335	7026	503	518	440	474
ENSGALG00000008330	749	413	421	385	383
ENSGALG00000008328	1962	437	482	457	490
ENSGALG00000008322	3558	1459	1409	1446	1436
ENSGALG00000008312	2569	449	473	464	495
ENSGALG00000028239	694	11	9	11	9
ENSGALG00000008306	4332	5	11	1	4
ENSGALG00000008301	2955	199	227	211	217
ENSGALG00000008298	1738	78	63	244	156
ENSGALG00000008288	3202	128	137	105	129
ENSGALG00000008285	2418	223	257	254	273
ENSGALG00000008280	1474	1745	1843	1794	1873
ENSGALG00000008249	2008	2760	2767	2716	2614
ENSGALG00000008236	1464	4710	4864	4502	4615
ENSGALG00000008175	3148	1119	1145	1073	1114
ENSGALG00000008167	6071	2675	2532	2653	2291
ENSGALG00000008132	2929	1089	1104	977	973
ENSGALG00000008123	3106	518	510	515	448
ENSGALG00000028868	101	5	2	2	4
ENSGALG00000027028	1145	59	63	45	54
ENSGALG00000008109	6053	26	38	31	23
ENSGALG00000029006	4019	11	9	20	12
ENSGALG00000008098	1549	773	820	734	733
ENSGALG00000027350	301	37	56	32	33
ENSGALG00000008081	3343	109	118	124	123
ENSGALG00000008060	948	113	110	82	87
ENSGALG00000008050	1585	376	388	385	336
ENSGALG00000008032	1934	3	3	1	0
ENSGALG00000023661	979	349	336	337	303
ENSGALG00000025647	147	0	0	0	0
ENSGALG00000008009	1953	1329	1322	1253	1238
ENSGALG00000007998	3357	6	10	14	9
ENSGALG00000027723	6767	1372	1384	1469	1239
ENSGALG00000007959	2390	0	2	0	0
ENSGALG00000007931	2031	3423	3503	3225	3270
ENSGALG00000007905	4715	7470	8361	7573	7753
ENSGALG00000007917	5546	295	251	348	450
ENSGALG00000007183	3175	2112	2081	1965	2023
ENSGALG00000023625	329	0	0	0	0
ENSGALG00000027157	1158	12	16	6	3
ENSGALG00000007142	6883	881	918	720	752
ENSGALG00000007043	2429	1	3	0	1
ENSGALG00000027347	1451	361	377	339	283
ENSGALG00000013018	1880	645	703	618	670
ENSGALG00000004897	2547	1965	1906	1917	1736
ENSGALG00000004208	2895	416	449	436	411
ENSGALG00000027995	427	103	105	104	138
ENSGALG00000013182	5758	959	1009	1072	951
ENSGALG00000006986	741	0	0	0	0
ENSGALG00000019397	5692	1132	1172	1190	1218
ENSGALG00000023587	448	0	0	3	0
ENSGALG00000019399	653	0	0	0	0
ENSGALG00000026681	96	0	0	0	0
ENSGALG00000028811	106	0	0	0	0
ENSGALG00000008526	7365	2011	2131	1921	1798
