cluster	chicken_gene
Cluster-11649.0	ENSGALG00000006819
Cluster-11673.0	ENSGALG00000008888
Cluster-11673.1	ENSGALG00000008888
Cluster-11678.0	ENSGALG00000002695
Cluster-11692.0	ENSGALG00000004003
Cluster-11715.0	ENSGALG00000016348
Cluster-11735.0	ENSGALG00000012812
Cluster-11745.0	ENSGALG00000011099
Cluster-11753.0	ENSGALG00000026978
Cluster-11756.0	ENSGALG00000010165
Cluster-11756.1	ENSGALG00000010165
Cluster-11774.0	ENSGALG00000008061
Cluster-11774.1	ENSGALG00000008061
Cluster-11797.0	ENSGALG00000001875
Cluster-1180.0	ENSGALG00000014206
Cluster-11825.0	ENSGALG00000012788
Cluster-11829.0	ENSGALG00000009279
Cluster-11829.1	ENSGALG00000009279
Cluster-11838.0	ENSGALG00000013625
Cluster-11858.0	ENSGALG00000026785
Cluster-11860.0	ENSGALG00000026498
Cluster-11886.0	ENSGALG00000002370
Cluster-11888.0	ENSGALG00000005661
Cluster-11895.0	ENSGALG00000001946
Cluster-11915.0	ENSGALG00000003286
Cluster-11918.0	ENSGALG00000001662
Cluster-11926.0	ENSGALG00000028616
Cluster-11937.0	ENSGALG00000001786
Cluster-11940.0	ENSGALG00000007247
Cluster-11956.0	ENSGALG00000017029
Cluster-11960.0	ENSGALG00000004646
Cluster-12003.0	ENSGALG00000015949
Cluster-12004.0	ENSGALG00000006755
Cluster-12021.0	ENSGALG00000025736
Cluster-12030.0	ENSGALG00000005790
Cluster-12033.0	ENSGALG00000029025
Cluster-12048.0	ENSGALG00000001227
Cluster-1206.0	ENSGALG00000008115
Cluster-12062.0	ENSGALG00000004945
Cluster-12064.0	ENSGALG00000015926
Cluster-12072.0	ENSGALG00000002888
Cluster-12072.1	ENSGALG00000002888
Cluster-12072.2	ENSGALG00000002888
Cluster-12073.0	ENSGALG00000014687
Cluster-12089.0	ENSGALG00000012927
Cluster-12100.0	ENSGALG00000011974
Cluster-12101.0	ENSGALG00000010342
Cluster-1211.0	ENSGALG00000016715
Cluster-12150.0	ENSGALG00000015568
Cluster-12180.0	ENSGALG00000021039
Cluster-12180.1	ENSGALG00000021039
Cluster-12195.0	ENSGALG00000000221
Cluster-12202.0	ENSGALG00000005297
Cluster-1222.0	ENSGALG00000010331
Cluster-1222.1	ENSGALG00000010331
Cluster-12222.0	ENSGALG00000001573
Cluster-12228.0	ENSGALG00000015845
Cluster-12241.0	ENSGALG00000023146
Cluster-12241.1	ENSGALG00000023146
Cluster-12243.0	ENSGALG00000007838
Cluster-12262.0	ENSGALG00000017120
Cluster-12271.0	ENSGALG00000012971
Cluster-12271.1	ENSGALG00000012971
Cluster-12281.0	ENSGALG00000028657
Cluster-12291.0	ENSGALG00000028570
Cluster-123.0	ENSGALG00000010901
Cluster-12313.0	ENSGALG00000009107
Cluster-12319.0	ENSGALG00000012494
Cluster-12346.0	ENSGALG00000027978
Cluster-12362.0	ENSGALG00000010909
Cluster-12363.0	ENSGALG00000006837
Cluster-12363.1	ENSGALG00000006837
Cluster-12363.2	ENSGALG00000006837
Cluster-1237.0	ENSGALG00000008037
Cluster-12394.0	ENSGALG00000003256
Cluster-12410.0	ENSGALG00000004538
Cluster-12411.0	ENSGALG00000011098
Cluster-12442.0	ENSGALG00000003595
Cluster-12492.0	ENSGALG00000027098
Cluster-12507.0	ENSGALG00000010949
Cluster-12524.0	ENSGALG00000001770
Cluster-12525.0	ENSGALG00000028234
Cluster-12528.0	ENSGALG00000004320
Cluster-12528.1	ENSGALG00000004320
Cluster-12540.0	ENSGALG00000003921
Cluster-12542.0	ENSGALG00000006785
Cluster-12571.0	ENSGALG00000013535
Cluster-12574.1	ENSGALG00000020523
Cluster-12574.2	ENSGALG00000020523
Cluster-12574.3	ENSGALG00000020523
Cluster-12627.0	ENSGALG00000003176
Cluster-12633.0	ENSGALG00000028855
Cluster-12633.1	ENSGALG00000028855
Cluster-12641.1	ENSGALG00000004612
Cluster-12657.0	ENSGALG00000027525
Cluster-12664.0	ENSGALG00000009730
Cluster-12674.0	ENSGALG00000015111
Cluster-127.0	ENSGALG00000000607
Cluster-12700.0	ENSGALG00000003270
Cluster-12711.0	ENSGALG00000006665
Cluster-12724.1	ENSGALG00000028109
Cluster-12734.0	ENSGALG00000010165
Cluster-12745.0	ENSGALG00000027478
Cluster-12764.2	ENSGALG00000013655
Cluster-12764.3	ENSGALG00000013655
Cluster-12807.0	ENSGALG00000001079
Cluster-12808.0	ENSGALG00000027554
Cluster-12825.0	ENSGALG00000005180
Cluster-12825.1	ENSGALG00000005180
Cluster-12827.0	ENSGALG00000020716
Cluster-12833.0	ENSGALG00000005152
Cluster-12858.0	ENSGALG00000015167
Cluster-12864.0	ENSGALG00000016849
Cluster-12877.0	ENSGALG00000012006
Cluster-12894.0	ENSGALG00000014419
Cluster-12932.0	ENSGALG00000002069
Cluster-12973.0	ENSGALG00000001392
Cluster-12988.0	ENSGALG00000004954
Cluster-12993.0	ENSGALG00000010815
Cluster-12996.0	ENSGALG00000005601
Cluster-13016.0	ENSGALG00000027476
Cluster-13018.0	ENSGALG00000008125
Cluster-13022.0	ENSGALG00000028862
Cluster-13028.0	ENSGALG00000027765
Cluster-13030.0	ENSGALG00000016087
Cluster-13039.0	ENSGALG00000005811
Cluster-13041.0	ENSGALG00000020326
Cluster-13041.1	ENSGALG00000020326
Cluster-13047.0	ENSGALG00000004059
Cluster-13056.1	ENSGALG00000009372
Cluster-13058.0	ENSGALG00000002314
Cluster-13075.0	ENSGALG00000000442
Cluster-13087.0	ENSGALG00000005059
Cluster-13092.0	ENSGALG00000014023
Cluster-13100.0	ENSGALG00000008100
Cluster-13139.0	ENSGALG00000009239
Cluster-13145.0	ENSGALG00000009682
Cluster-13192.0	ENSGALG00000010435
Cluster-13201.0	ENSGALG00000011366
Cluster-13226.0	ENSGALG00000010352
Cluster-13226.1	ENSGALG00000010352
Cluster-13230.0	ENSGALG00000014337
Cluster-13238.0	ENSGALG00000003412
Cluster-13243.0	ENSGALG00000013615
Cluster-13243.1	ENSGALG00000013615
Cluster-13255.0	ENSGALG00000012997
Cluster-13265.0	ENSGALG00000011258
Cluster-13269.0	ENSGALG00000028427
Cluster-13269.1	ENSGALG00000028427
Cluster-13269.2	ENSGALG00000028427
Cluster-13271.0	ENSGALG00000008043
Cluster-13279.0	ENSGALG00000005867
Cluster-13307.0	ENSGALG00000020554
Cluster-13308.0	ENSGALG00000028457
Cluster-13355.0	ENSGALG00000007139
Cluster-13385.0	ENSGALG00000004970
Cluster-13395.0	ENSGALG00000003833
Cluster-13396.1	ENSGALG00000000589
Cluster-13397.0	ENSGALG00000011009
Cluster-13409.0	ENSGALG00000007954
Cluster-13422.0	ENSGALG00000005460
Cluster-13459.0	ENSGALG00000015078
Cluster-13461.0	ENSGALG00000014875
Cluster-13481.0	ENSGALG00000028057
Cluster-13501.0	ENSGALG00000004630
Cluster-13520.0	ENSGALG00000001078
Cluster-13531.0	ENSGALG00000013701
Cluster-13551.0	ENSGALG00000011360
Cluster-1356.0	ENSGALG00000026817
Cluster-13573.0	ENSGALG00000015737
Cluster-13595.0	ENSGALG00000024335
Cluster-13597.0	ENSGALG00000005450
Cluster-13597.2	ENSGALG00000005450
Cluster-13598.0	ENSGALG00000004341
Cluster-13598.1	ENSGALG00000004341
Cluster-13599.0	ENSGALG00000027546
Cluster-13602.0	ENSGALG00000008308
Cluster-13623.0	ENSGALG00000023953
Cluster-13639.0	ENSGALG00000028654
Cluster-13643.0	ENSGALG00000012250
Cluster-13657.0	ENSGALG00000003371
Cluster-13688.0	ENSGALG00000007284
Cluster-13698.0	ENSGALG00000011294
Cluster-13715.0	ENSGALG00000008652
Cluster-13721.0	ENSGALG00000011608
Cluster-13725.0	ENSGALG00000004972
Cluster-13725.1	ENSGALG00000004972
Cluster-13784.0	ENSGALG00000015154
Cluster-13801.0	ENSGALG00000001842
Cluster-13806.0	ENSGALG00000003567
Cluster-13861.0	ENSGALG00000003529
Cluster-13871.0	ENSGALG00000016013
Cluster-13875.0	ENSGALG00000004418
Cluster-13888.0	ENSGALG00000021620
Cluster-13911.0	ENSGALG00000028281
Cluster-13916.0	ENSGALG00000012997
Cluster-1392.0	ENSGALG00000021656
Cluster-13966.0	ENSGALG00000028863
Cluster-13994.0	ENSGALG00000023083
Cluster-13995.0	ENSGALG00000004991
Cluster-14008.0	ENSGALG00000001450
Cluster-14033.0	ENSGALG00000011997
Cluster-14034.0	ENSGALG00000003283
Cluster-14041.0	ENSGALG00000014722
Cluster-14042.0	ENSGALG00000002407
Cluster-14052.0	ENSGALG00000011473
Cluster-14053.0	ENSGALG00000001049
Cluster-14067.0	ENSGALG00000009478
Cluster-14079.0	ENSGALG00000011343
Cluster-14111.0	ENSGALG00000028415
Cluster-14124.0	ENSGALG00000014080
Cluster-14124.1	ENSGALG00000014080
Cluster-14134.0	ENSGALG00000010933
Cluster-14134.1	ENSGALG00000010933
Cluster-14134.2	ENSGALG00000010933
Cluster-14134.3	ENSGALG00000010933
Cluster-14134.4	ENSGALG00000010933
Cluster-14152.0	ENSGALG00000012985
Cluster-14154.0	ENSGALG00000011166
Cluster-14204.0	ENSGALG00000006348
Cluster-14204.1	ENSGALG00000006348
Cluster-14214.0	ENSGALG00000021399
Cluster-14229.0	ENSGALG00000016352
Cluster-14232.0	ENSGALG00000009340
Cluster-14233.0	ENSGALG00000008893
Cluster-14236.0	ENSGALG00000013281
Cluster-14242.0	ENSGALG00000021171
Cluster-14248.0	ENSGALG00000011009
Cluster-14264.0	ENSGALG00000007617
Cluster-14270.1	ENSGALG00000011236
Cluster-14287.0	ENSGALG00000007069
Cluster-14321.0	ENSGALG00000016852
Cluster-14343.0	ENSGALG00000001885
Cluster-14347.0	ENSGALG00000010858
Cluster-14353.0	ENSGALG00000013427
Cluster-14361.0	ENSGALG00000026498
Cluster-14367.0	ENSGALG00000027268
Cluster-1438.1	ENSGALG00000027550
Cluster-14419.0	ENSGALG00000013992
Cluster-14429.0	ENSGALG00000025969
Cluster-14429.1	ENSGALG00000025969
Cluster-14446.0	ENSGALG00000007862
Cluster-14451.0	ENSGALG00000000834
Cluster-14454.0	ENSGALG00000010374
Cluster-14462.0	ENSGALG00000016444
Cluster-14469.0	ENSGALG00000003401
Cluster-14474.0	ENSGALG00000004087
Cluster-14482.0	ENSGALG00000021658
Cluster-1451.0	ENSGALG00000027146
Cluster-14513.0	ENSGALG00000002707
Cluster-14549.0	ENSGALG00000014398
Cluster-14595.0	ENSGALG00000027678
Cluster-14595.1	ENSGALG00000027678
Cluster-14609.0	ENSGALG00000013436
Cluster-14635.0	ENSGALG00000010434
Cluster-1464.0	ENSGALG00000004756
Cluster-1464.1	ENSGALG00000004756
Cluster-14661.0	ENSGALG00000028037
Cluster-14666.0	ENSGALG00000023879
Cluster-14666.1	ENSGALG00000023879
Cluster-1468.0	ENSGALG00000002722
Cluster-14705.0	ENSGALG00000028466
Cluster-14719.0	ENSGALG00000012932
Cluster-14726.0	ENSGALG00000007849
Cluster-14726.1	ENSGALG00000007849
Cluster-14738.0	ENSGALG00000016752
Cluster-14751.0	ENSGALG00000010812
Cluster-14765.0	ENSGALG00000005919
Cluster-14776.0	ENSGALG00000010518
Cluster-14787.0	ENSGALG00000023950
Cluster-14787.1	ENSGALG00000023950
Cluster-14802.0	ENSGALG00000011549
Cluster-14804.0	ENSGALG00000013427
Cluster-14806.0	ENSGALG00000015057
Cluster-14812.0	ENSGALG00000012751
Cluster-14813.0	ENSGALG00000011098
Cluster-14836.0	ENSGALG00000001462
Cluster-14865.0	ENSGALG00000010258
Cluster-14876.0	ENSGALG00000011392
Cluster-14879.0	ENSGALG00000015531
Cluster-1488.0	ENSGALG00000006361
Cluster-14924.0	ENSGALG00000000837
Cluster-14925.0	ENSGALG00000017310
Cluster-14925.1	ENSGALG00000017310
Cluster-14930.1	ENSGALG00000013747
Cluster-14956.0	ENSGALG00000010309
Cluster-1499.0	ENSGALG00000009730
Cluster-14994.0	ENSGALG00000007841
Cluster-15020.0	ENSGALG00000015186
Cluster-15040.0	ENSGALG00000008195
Cluster-15040.1	ENSGALG00000008195
Cluster-15059.0	ENSGALG00000006340
Cluster-15104.0	ENSGALG00000016813
Cluster-15129.0	ENSGALG00000008786
Cluster-15143.1	ENSGALG00000023909
Cluster-15143.2	ENSGALG00000023909
Cluster-15143.3	ENSGALG00000023909
Cluster-15143.4	ENSGALG00000023909
Cluster-15147.3	ENSGALG00000026498
Cluster-15156.0	ENSGALG00000028368
Cluster-15172.0	ENSGALG00000002318
Cluster-15178.0	ENSGALG00000005646
Cluster-15180.0	ENSGALG00000026498
Cluster-15191.1	ENSGALG00000006401
Cluster-15219.0	ENSGALG00000008499
Cluster-15255.0	ENSGALG00000001849
Cluster-1526.0	ENSGALG00000001942
Cluster-15260.0	ENSGALG00000023069
Cluster-15264.0	ENSGALG00000005666
Cluster-1527.0	ENSGALG00000001863
Cluster-15279.0	ENSGALG00000028616
Cluster-15292.0	ENSGALG00000025939
Cluster-15292.2	ENSGALG00000020458
Cluster-15296.0	ENSGALG00000028359
Cluster-15300.0	ENSGALG00000007417
Cluster-1532.0	ENSGALG00000026727
Cluster-1533.0	ENSGALG00000028294
Cluster-15330.0	ENSGALG00000007907
Cluster-15374.0	ENSGALG00000005632
Cluster-15374.1	ENSGALG00000005632
Cluster-15377.0	ENSGALG00000011009
Cluster-15382.0	ENSGALG00000010242
Cluster-15388.0	ENSGALG00000026498
Cluster-15419.0	ENSGALG00000018772
Cluster-15465.0	ENSGALG00000007955
Cluster-15498.0	ENSGALG00000029022
Cluster-15514.0	ENSGALG00000027471
Cluster-15548.0	ENSGALG00000014436
Cluster-15559.0	ENSGALG00000028360
Cluster-15560.0	ENSGALG00000027268
Cluster-15563.0	ENSGALG00000015156
Cluster-15563.1	ENSGALG00000015156
Cluster-15599.0	ENSGALG00000028125
Cluster-15606.0	ENSGALG00000004818
Cluster-15607.0	ENSGALG00000004785
Cluster-15611.0	ENSGALG00000010760
Cluster-15634.0	ENSGALG00000005442
Cluster-15672.0	ENSGALG00000010179
Cluster-15699.0	ENSGALG00000019144
Cluster-15704.0	ENSGALG00000023506
Cluster-15705.0	ENSGALG00000016310
Cluster-15709.0	ENSGALG00000002287
Cluster-15718.0	ENSGALG00000014516
Cluster-15718.1	ENSGALG00000014516
Cluster-15740.0	ENSGALG00000005903
Cluster-15746.0	ENSGALG00000005017
Cluster-15756.0	ENSGALG00000005077
Cluster-15774.0	ENSGALG00000001968
Cluster-15774.1	ENSGALG00000001968
Cluster-15780.0	ENSGALG00000013302
Cluster-15794.0	ENSGALG00000010357
Cluster-15805.0	ENSGALG00000010815
Cluster-15805.1	ENSGALG00000010815
Cluster-15811.0	ENSGALG00000000834
Cluster-15811.1	ENSGALG00000000834
Cluster-1582.0	ENSGALG00000011970
Cluster-1583.0	ENSGALG00000003340
Cluster-15855.0	ENSGALG00000026498
Cluster-15856.0	ENSGALG00000012382
Cluster-15856.1	ENSGALG00000012382
Cluster-15858.0	ENSGALG00000011608
Cluster-15870.1	ENSGALG00000026305
Cluster-15879.0	ENSGALG00000011614
Cluster-15879.1	ENSGALG00000011614
Cluster-15879.2	ENSGALG00000011614
Cluster-1588.0	ENSGALG00000016341
Cluster-15901.0	ENSGALG00000003326
Cluster-15901.1	ENSGALG00000003326
Cluster-15904.0	ENSGALG00000006802
Cluster-15912.0	ENSGALG00000013934
Cluster-1593.0	ENSGALG00000027513
Cluster-15932.0	ENSGALG00000006165
Cluster-15965.0	ENSGALG00000000451
Cluster-15983.0	ENSGALG00000002789
Cluster-16005.0	ENSGALG00000026000
Cluster-16018.0	ENSGALG00000023131
Cluster-16044.0	ENSGALG00000001862
Cluster-16071.0	ENSGALG00000012020
Cluster-16073.0	ENSGALG00000004630
Cluster-16091.0	ENSGALG00000008482
Cluster-16103.0	ENSGALG00000011930
Cluster-16105.0	ENSGALG00000011434
Cluster-16123.0	ENSGALG00000008309
Cluster-1615.0	ENSGALG00000006681
Cluster-1615.1	ENSGALG00000006681
Cluster-16154.0	ENSGALG00000023439
Cluster-16160.0	ENSGALG00000019280
Cluster-16163.0	ENSGALG00000012407
Cluster-16175.0	ENSGALG00000009722
Cluster-16177.0	ENSGALG00000014994
Cluster-16238.0	ENSGALG00000010125
Cluster-16241.0	ENSGALG00000014716
Cluster-16245.0	ENSGALG00000016123
Cluster-16253.0	ENSGALG00000001532
Cluster-16253.1	ENSGALG00000001532
Cluster-16257.0	ENSGALG00000011732
Cluster-16260.0	ENSGALG00000029008
Cluster-16287.0	ENSGALG00000026498
Cluster-16288.0	ENSGALG00000017379
Cluster-16291.0	ENSGALG00000003126
Cluster-16295.0	ENSGALG00000026387
Cluster-16295.1	ENSGALG00000026387
Cluster-16300.0	ENSGALG00000010772
Cluster-16300.1	ENSGALG00000010772
Cluster-16341.0	ENSGALG00000001744
Cluster-16363.0	ENSGALG00000003706
Cluster-16380.0	ENSGALG00000008456
Cluster-16396.0	ENSGALG00000027163
Cluster-16396.2	ENSGALG00000027163
Cluster-16401.0	ENSGALG00000029025
Cluster-16401.1	ENSGALG00000029025
Cluster-16404.0	ENSGALG00000009483
Cluster-16406.0	ENSGALG00000029008
Cluster-1641.0	ENSGALG00000027130
Cluster-16479.0	ENSGALG00000009012
Cluster-16482.0	ENSGALG00000001912
Cluster-16488.0	ENSGALG00000016813
Cluster-16488.1	ENSGALG00000013642
Cluster-16524.3	ENSGALG00000003990
Cluster-16524.4	ENSGALG00000003990
Cluster-16535.0	ENSGALG00000023953
Cluster-16549.0	ENSGALG00000016246
Cluster-16557.1	ENSGALG00000011345
Cluster-16571.0	ENSGALG00000026498
Cluster-16575.0	ENSGALG00000009788
Cluster-16623.0	ENSGALG00000003239
Cluster-16623.3	ENSGALG00000003239
Cluster-16625.1	ENSGALG00000001608
Cluster-16628.0	ENSGALG00000026345
Cluster-16648.0	ENSGALG00000014860
Cluster-16686.0	ENSGALG00000002393
Cluster-16710.0	ENSGALG00000005539
Cluster-16726.0	ENSGALG00000005797
Cluster-16746.0	ENSGALG00000002390
Cluster-16746.1	ENSGALG00000002390
Cluster-16760.0	ENSGALG00000001849
Cluster-16769.0	ENSGALG00000009058
Cluster-16780.0	ENSGALG00000010259
Cluster-16784.0	ENSGALG00000008845
Cluster-16815.0	ENSGALG00000026498
Cluster-16818.0	ENSGALG00000011332
Cluster-16827.0	ENSGALG00000004530
Cluster-16854.0	ENSGALG00000014938
Cluster-16958.0	ENSGALG00000008630
Cluster-16974.0	ENSGALG00000009120
Cluster-16984.0	ENSGALG00000011280
Cluster-16989.0	ENSGALG00000012958
Cluster-16990.0	ENSGALG00000004980
Cluster-16990.1	ENSGALG00000004980
Cluster-16990.2	ENSGALG00000004980
Cluster-170.0	ENSGALG00000001197
Cluster-1700.0	ENSGALG00000013355
Cluster-17010.0	ENSGALG00000010258
Cluster-17022.0	ENSGALG00000021395
Cluster-17056.0	ENSGALG00000001849
Cluster-17066.0	ENSGALG00000007624
Cluster-17082.0	ENSGALG00000013002
Cluster-17084.0	ENSGALG00000014206
Cluster-17090.0	ENSGALG00000012751
Cluster-17091.1	ENSGALG00000008115
Cluster-17105.0	ENSGALG00000016144
Cluster-17108.0	ENSGALG00000012117
Cluster-1711.0	ENSGALG00000017178
Cluster-17126.0	ENSGALG00000026046
Cluster-17144.0	ENSGALG00000016556
Cluster-17148.0	ENSGALG00000010470
Cluster-17152.0	ENSGALG00000010010
Cluster-17152.2	ENSGALG00000020057
Cluster-17170.0	ENSGALG00000012433
Cluster-17172.0	ENSGALG00000012612
Cluster-17210.1	ENSGALG00000006854
Cluster-17210.2	ENSGALG00000006854
Cluster-17212.0	ENSGALG00000026269
Cluster-1722.0	ENSGALG00000028294
Cluster-17237.0	ENSGALG00000015478
Cluster-17262.0	ENSGALG00000005601
Cluster-17268.0	ENSGALG00000026115
Cluster-17271.0	ENSGALG00000001876
Cluster-17272.0	ENSGALG00000010378
Cluster-17272.1	ENSGALG00000010378
Cluster-17287.0	ENSGALG00000015710
Cluster-17303.0	ENSGALG00000009516
Cluster-17309.0	ENSGALG00000010910
Cluster-1731.0	ENSGALG00000004754
Cluster-17334.0	ENSGALG00000016750
Cluster-17334.1	ENSGALG00000016750
Cluster-17354.0	ENSGALG00000008181
Cluster-17354.1	ENSGALG00000008181
Cluster-17363.0	ENSGALG00000006384
Cluster-17376.0	ENSGALG00000015422
Cluster-17377.0	ENSGALG00000003034
Cluster-17377.1	ENSGALG00000003034
Cluster-17382.0	ENSGALG00000010707
Cluster-17399.0	ENSGALG00000001183
Cluster-17411.0	ENSGALG00000023626
Cluster-17413.0	ENSGALG00000006835
Cluster-17417.0	ENSGALG00000007791
Cluster-17428.0	ENSGALG00000029008
Cluster-17468.0	ENSGALG00000010145
Cluster-17479.0	ENSGALG00000017310
Cluster-17480.0	ENSGALG00000012666
Cluster-17539.0	ENSGALG00000005861
Cluster-17571.0	ENSGALG00000007045
Cluster-17576.0	ENSGALG00000019060
Cluster-17610.0	ENSGALG00000005538
Cluster-17643.0	ENSGALG00000010363
Cluster-1765.0	ENSGALG00000025727
Cluster-17660.0	ENSGALG00000025941
Cluster-1771.0	ENSGALG00000008323
Cluster-17712.0	ENSGALG00000025736
Cluster-17713.0	ENSGALG00000002477
Cluster-17716.0	ENSGALG00000007803
Cluster-17716.1	ENSGALG00000007803
Cluster-17730.0	ENSGALG00000026367
Cluster-1775.0	ENSGALG00000005120
Cluster-17752.0	ENSGALG00000008317
Cluster-17755.0	ENSGALG00000015598
Cluster-17757.0	ENSGALG00000000099
Cluster-17766.0	ENSGALG00000004424
Cluster-17768.0	ENSGALG00000006169
Cluster-17801.0	ENSGALG00000005176
Cluster-17802.0	ENSGALG00000010639
Cluster-17802.1	ENSGALG00000010639
Cluster-17814.0	ENSGALG00000011003
Cluster-17816.0	ENSGALG00000003227
Cluster-17825.0	ENSGALG00000009958
Cluster-17825.1	ENSGALG00000009958
Cluster-17832.0	ENSGALG00000006900
Cluster-17847.1	ENSGALG00000004246
Cluster-17865.0	ENSGALG00000028195
Cluster-17865.1	ENSGALG00000028195
Cluster-17872.0	ENSGALG00000008945
Cluster-17873.0	ENSGALG00000013587
Cluster-17885.0	ENSGALG00000004860
Cluster-17948.0	ENSGALG00000002080
